"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2017|01",55907,20035,157077,34164,741005,62049,42388,12050,15796,199060,129853,19730,6331,133068,95688,28783,44055,52551,32693,8921,44015,108133,95316,70100,40757,62871,20425,26478,35366,5744,90041,37482,244464,128131,18170,148290,91782,39869,164022,16328,49584,21646,80826,322458,17090,2589,59830,80267,16144,71516,4194,4105132
"2017|02",51512,18367,143287,31150,675795,56496,38197,10735,13960,184470,118758,17817,5898,121363,87610,25989,40945,48036,30276,7741,40552,99470,86428,65006,37825,57049,19292,23987,32510,5586,83217,33947,224952,102306,16728,137045,84970,36453,151256,15214,46257,20415,64966,299995,15707,2384,54258,74021,14684,65604,3878,3744364
"2017|03",58327,20711,161130,35971,763384,64248,43355,12030,15663,209726,134527,20128,6736,136743,100562,29396,46432,54873,33586,8463,45569,113223,97639,74730,43190,65042,21876,27426,37366,6541,93675,37966,257749,101743,19320,154832,98071,41506,170654,16991,54115,23813,64610,344956,18008,2695,61106,84733,16523,75176,4412,4231247
"2017|04",56302,20068,156517,35243,739135,62916,42401,11940,15565,205218,131527,19465,6657,132805,99157,28986,46055,53501,32209,8091,43379,111397,95685,73259,42153,64561,21286,26917,35957,6745,88829,36896,253849,90898,18707,151328,95508,41003,164261,16059,53364,23217,57984,337921,17694,2578,59707,83227,16409,74135,4372,4113043
"2017|05",57836,19433,159168,35857,747402,63061,43198,12291,15662,209849,135348,19764,6779,136268,100597,29246,47560,54502,33034,8227,44449,112144,97753,73966,42977,65694,22097,27071,36642,6909,90827,38030,258646,92398,18824,154332,94680,42080,168302,16706,53478,23443,58756,343753,17671,2675,61728,84757,16771,76536,4537,4183714
"2017|06",55534,18157,150825,33495,709351,59174,41278,11651,14796,200483,128721,18587,6454,131195,95557,27465,44871,51557,32545,7687,42441,106188,93300,69797,40752,62466,21345,25408,34781,6584,87633,36373,246406,86749,17977,148021,88245,40384,161856,16122,49570,22342,56553,326433,16437,2455,59629,81306,15761,72705,4476,3979878
"2017|07",57349,18553,154763,34043,722751,61153,41790,12185,15290,206255,132201,19058,7052,134204,96822,27575,45213,52727,33399,7569,43492,107790,96168,71003,41987,64536,22536,25933,35104,6883,88812,37661,251533,87828,18606,151433,89977,41536,164737,16410,50269,23420,58839,337719,16965,2500,60306,83095,16370,73103,4877,4071380
"2017|08",58519,18651,153212,33284,721965,61725,41858,12071,15220,208476,131570,19487,7319,133048,97137,27402,44529,52222,33888,6877,43704,108711,97521,70775,41989,64897,23783,26472,35009,6799,88364,37453,252668,88138,18688,152146,90460,41832,164662,16597,51402,24012,60952,346521,16640,2351,59914,83977,16481,73992,5060,4090430
"2017|09",58304,18933,148956,32226,707946,60972,41074,11581,14205,208238,130327,18979,7386,129908,97017,27408,44488,51065,34004,6472,42484,108269,95719,70819,40930,64510,23589,27501,35263,6683,86194,37361,248484,89462,18550,149917,89991,41186,161402,16477,50728,24359,62254,347955,16832,2366,57841,83237,16266,73481,5065,4044664
"2017|10",60997,19471,153409,33100,730565,63331,42252,12017,14618,219615,138336,19572,7596,134734,101066,28733,47373,52279,35172,6639,42480,113610,100135,74083,42645,67033,24734,28059,36390,6894,88434,39443,257688,92108,19867,157216,91779,43002,166356,17864,53245,26011,65260,363612,17635,2543,59473,87061,17057,76989,5350,4204931
"2017|11",58488,18374,144106,30735,692504,58635,40611,11516,13855,206909,134223,18669,7182,130052,95188,26538,45681,49228,32931,6225,40578,108336,95465,70376,40675,62994,23934,26408,34182,6553,84899,37583,243921,86886,19315,150354,85555,40739,159679,17194,50822,24536,63378,342093,16698,2366,56503,82618,16932,73639,4926,3991787
"2017|12",60286,18367,145292,30892,707425,58483,41613,11752,13937,208253,138606,19385,7512,134239,96967,26709,46326,49551,33535,6413,40980,110129,97984,70815,40773,62985,24260,26508,35179,6983,86353,38023,244827,87654,19903,153392,85630,41737,162871,17225,51540,24727,65851,345953,16364,2353,57885,84138,17451,74884,4902,4055802
"2018|01",60271,18430,144373,30800,706260,58814,41193,11635,13975,206176,140822,19670,7889,134856,95722,27177,46195,48476,33662,6341,40745,109639,98539,70544,40607,61326,24042,25933,35816,6900,86016,37460,241400,86649,20099,153482,84391,41780,161595,17280,51264,24476,65890,343594,15295,2313,58080,83600,17358,74756,5079,4038685
"2018|02",55255,16950,131932,28371,640551,53781,38473,10742,12565,190497,132433,18350,7494,123228,86679,25493,42585,44821,30801,5910,37132,100961,90288,65340,37310,54870,22278,23595,32854,6334,78854,33982,219166,78291,18546,141205,76758,38883,147263,16564,47359,22299,61990,316242,13679,2172,54005,76275,16149,68158,4643,3700356
"2018|03",62545,19336,147958,32691,716229,61418,43564,12400,14049,217285,153740,20931,8512,139961,97550,29272,48545,51715,34750,7107,42847,115250,101985,75356,41899,60477,25281,27163,37678,7493,88431,38313,247361,88135,20664,158511,86190,44309,164801,18761,55393,25051,72036,362687,15757,2446,61290,86922,18220,77212,5210,4192687
"2018|04",61085,19061,142990,31566,690433,59487,42936,12014,13491,211749,150894,20330,8232,136299,92698,28693,48381,51173,33501,7283,41261,113367,98612,73688,40629,58210,24342,26607,37173,7363,84815,36953,240677,85715,20098,154126,82038,42882,159547,18373,55401,24749,70777,356383,15209,2316,59172,86081,17518,74668,4873,4075919
